iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_mean,fairness_gini,jain_fairness_index,resource_specialisation,agent_overlap,task_division,policy_divergence,entropy_coeff
1,283.74750000000415,37.6200000000007,419.49000000000615,500.0,0.7894738567149504,0.8675307308233708,0.2893263799810658,0.0,0.2893263799810658,0.0,0.01
2,352.11093750000964,33.07499999999918,729.9450000000388,500.0,0.7642732284275067,0.838174704672193,0.3206429423659562,0.0,0.3206429423659562,0.0,0.01
3,575.5293750000168,33.07499999999918,1762.0649999999946,500.0,0.759890110445084,0.8312352947544408,0.32437756920463406,0.0,0.32437756920463406,0.0,0.01
4,679.9921875000218,33.07499999999918,1762.0649999999946,500.0,0.7623125297431564,0.8328911567523347,0.32419945014812107,0.0,0.32419945014812107,0.0,0.01
5,802.7741250000203,33.07499999999918,1906.0649999999869,500.0,0.757108942296253,0.8272997487235992,0.3247446615006891,0.0,0.3247446615006891,0.0,0.01
6,978.9056250000154,33.07499999999918,2236.5899999999633,500.0,0.7593081225189976,0.8303488535305865,0.32631740262150116,0.0,0.32631740262150116,0.0,0.01
7,1163.6381250000127,33.07499999999918,3252.5099999999916,500.0,0.7544900778245548,0.8228605374721433,0.33469601853789344,0.0,0.33469601853789344,0.0,0.01
8,1565.2912500000143,33.07499999999918,8588.520000000135,500.0,0.7447033694579923,0.8079281861049303,0.34649705695860006,0.0,0.34649705695860006,0.0,0.01
9,1898.9193750000154,33.07499999999918,8588.520000000135,500.0,0.7371933076769828,0.7963997561820446,0.34936717363253256,0.0,0.34936717363253256,0.0,0.01
10,2152.7893125000164,33.07499999999918,8588.520000000135,500.0,0.7246331505108075,0.7809178387549217,0.34788390831078875,0.0,0.34788390831078875,0.0,0.01
11,2519.983125000022,33.07499999999918,8588.520000000135,500.0,0.7133842638820428,0.7683484637451687,0.35475848449722386,0.0,0.35475848449722386,0.0,0.01
12,2847.997500000022,33.07499999999918,9237.509999999858,500.0,0.7024976818897097,0.753398638556002,0.3594277666318668,0.0,0.3594277666318668,0.0,0.01
13,3426.948000000017,33.07499999999918,16524.044999999587,500.0,0.6907653910134627,0.7394507594773618,0.36588226468877183,0.0,0.36588226468877183,0.0,0.01
14,4168.654200000008,33.07499999999918,16524.044999999587,500.0,0.676269985655628,0.7213463772693697,0.3740236843897344,0.0,0.3740236843897344,0.0,0.01
15,4994.757899999993,545.9850000000382,16524.044999999587,500.0,0.6692168938692202,0.7127001868937984,0.38301611563050086,0.0,0.38301611563050086,0.0,0.01
16,5984.709749999975,545.9850000000382,18574.10999999976,500.0,0.6573990835603277,0.6985910580374388,0.38669339914323403,0.0,0.38669339914323403,0.0,0.01
17,7105.454099999953,1117.8900000000358,19965.86999999981,500.0,0.6497491265261567,0.6905494832745457,0.39136349648714563,0.0,0.39136349648714563,0.0,0.01
18,8528.804099999936,1203.7050000000338,23280.0299999998,500.0,0.6441895849562446,0.6847430218940959,0.3908643001523252,0.0,0.3908643001523252,0.0,0.01
19,9804.746699999909,1203.7050000000338,23280.0299999998,500.0,0.6395815771213492,0.6795837619610449,0.3920289850362743,0.0,0.3920289850362743,0.0,0.01
20,10919.919149999878,2396.9699999999566,23280.0299999998,500.0,0.6417322366118667,0.6850125745350205,0.38727262579086313,0.0,0.38727262579086313,0.0,0.01
21,11932.542449999843,2396.9699999999566,24205.724999999722,500.0,0.642150829591439,0.6884280072706451,0.38667931716409043,0.0,0.38667931716409043,0.0,0.01
22,12911.80409999981,2396.9699999999566,24205.724999999722,500.0,0.6408238251429461,0.6899524107897993,0.3853348764701787,0.0,0.3853348764701787,0.0,0.01
23,13959.903149999787,2895.92999999997,24205.724999999722,500.0,0.6430170238690809,0.6933375167226602,0.38214455615827,0.0,0.38214455615827,0.0,0.01
24,14928.801299999748,2895.92999999997,25895.924999999897,500.0,0.6571005398028136,0.7116323924499527,0.37628997771305994,0.0,0.37628997771305994,0.0,0.01
25,16017.92864999973,3243.8249999999866,27611.955000000027,500.0,0.6664481725590358,0.7226966152580333,0.36975352071313977,0.0,0.36975352071313977,0.0,0.01
26,16885.88234999971,4603.950000000011,27611.955000000027,500.0,0.6738997218405898,0.7323264602784644,0.3623485945001436,0.0,0.3623485945001436,0.0,0.01
27,17703.471149999692,6090.6600000000635,27611.955000000027,500.0,0.6866305885894367,0.7488285063623814,0.351350907352824,0.0,0.351350907352824,0.0,0.01
28,18324.53144999968,6090.6600000000635,27611.955000000027,500.0,0.6902000750615838,0.7528231210229396,0.3440122814629105,0.0,0.3440122814629105,0.0,0.01
29,19024.61039999967,12288.644999999786,27611.955000000027,500.0,0.7015100251238008,0.7654722871695028,0.3388074934524105,0.0,0.3388074934524105,0.0,0.01
30,19104.45119999967,11394.764999999874,27611.955000000027,500.0,0.7066337464072197,0.770736879446964,0.3319913494465657,0.0,0.3319913494465657,0.0,0.01
31,19291.272299999666,11394.764999999874,27611.955000000027,500.0,0.71688849373788,0.7809886386263382,0.32921333195443325,0.0,0.32921333195443325,0.0,0.01
32,19583.661149999676,11394.764999999874,27611.955000000027,500.0,0.7240962367328279,0.7876090041388554,0.32247368673961263,0.0,0.32247368673961263,0.0,0.01
33,19797.951599999677,11394.764999999874,27611.955000000027,500.0,0.7363748958376685,0.7994235515914621,0.3118698090741289,0.0,0.3118698090741289,0.0,0.01
34,20229.46379999968,11394.764999999874,27611.955000000027,500.0,0.7504548601320148,0.8139597653751917,0.3104034146242708,0.0,0.3104034146242708,0.0,0.01
35,20289.065399999672,11394.764999999874,27611.955000000027,500.0,0.7601722120474783,0.8232465453344051,0.30421798955812995,0.0,0.30421798955812995,0.0,0.01
36,20461.966649999675,11394.764999999874,27611.955000000027,500.0,0.773667465743278,0.8367660705861886,0.2960141298237718,0.0,0.2960141298237718,0.0,0.01
37,20209.331699999668,11394.764999999874,27611.955000000027,500.0,0.7747065520651586,0.8376651081940839,0.2965331422906939,0.0,0.2965331422906939,0.0,0.01
38,20040.509249999657,11394.764999999874,25131.734999999735,500.0,0.7856840390122646,0.8489407164980566,0.2970613728541738,0.0,0.2970613728541738,0.0,0.01
39,19988.038799999653,11394.764999999874,25131.734999999735,500.0,0.8006815965971106,0.8634189345493746,0.2946826263054657,0.0,0.2946826263054657,0.0,0.01
40,19694.81384999964,11394.764999999874,24714.944999999807,500.0,0.8045112689442029,0.8658292710717183,0.29468699993535136,0.0,0.29468699993535136,0.0,0.01
41,19457.275049999633,11394.764999999874,24714.944999999807,500.0,0.815688119933267,0.8767739964965897,0.2915685017735891,0.0,0.2915685017735891,0.0,0.01
42,19142.635049999604,9352.844999999756,24714.944999999807,500.0,0.8186357967883651,0.8792255749597868,0.2919119874589765,0.0,0.2919119874589765,0.0,0.01
43,18967.7447999996,9352.844999999756,24714.944999999807,500.0,0.8284391661436291,0.8883012851113812,0.2899596519485077,0.0,0.2899596519485077,0.0,0.01
44,18647.469899999585,9352.844999999756,24528.914999999808,500.0,0.8346069940992972,0.8936071997367253,0.29037784935639604,0.0,0.29037784935639604,0.0,0.01
45,18264.555899999563,9352.844999999756,24356.069999999818,500.0,0.8364772995910077,0.8941521903814611,0.2903387355866008,0.0,0.2903387355866008,0.0,0.01
46,17930.785949999543,9352.844999999756,24356.069999999818,500.0,0.8394513571384665,0.8969190760173232,0.2926525348201442,0.0,0.2926525348201442,0.0,0.01
47,17659.43189999952,9352.844999999756,23417.954999999965,500.0,0.8449025094997339,0.90185261415284,0.29403036237200353,0.0,0.29403036237200353,0.0,0.01
48,17319.532949999488,9352.844999999756,22809.554999999815,500.0,0.8466184779204585,0.9028636114586301,0.2968883051112644,0.0,0.2968883051112644,0.0,0.01
49,17095.284449999475,9352.844999999756,22093.559999999805,500.0,0.8499223582995128,0.9062848757403765,0.2973749911524012,0.0,0.2973749911524012,0.0,0.01
50,16954.070399999455,9352.844999999756,22093.559999999805,500.0,0.8568511460918412,0.9115648891976168,0.2932362575500516,0.0,0.2932362575500516,0.0,0.01
51,16766.340299999443,9352.844999999756,22093.559999999805,500.0,0.8597838271516839,0.9130406973051858,0.2920108419065976,0.0,0.2920108419065976,0.0,0.01
52,16574.654249999425,9352.844999999756,20197.88999999954,500.0,0.8593783693719904,0.9116415194672399,0.29008367403333585,0.0,0.29008367403333585,0.0,0.01
53,16337.982149999398,9352.844999999756,20197.88999999954,500.0,0.860279786065817,0.9115758482394106,0.28955822910006423,0.0,0.28955822910006423,0.0,0.01
54,16023.357449999392,9352.844999999756,20197.88999999954,500.0,0.8583204909928628,0.9091648828498251,0.29004118739527607,0.0,0.29004118739527607,0.0,0.01
55,15868.748699999374,9195.88499999946,20197.88999999954,500.0,0.8598338002745387,0.910508707883919,0.29017797580416466,0.0,0.29017797580416466,0.0,0.01
56,15669.11834999935,9195.88499999946,19353.104999999563,500.0,0.8596317947662794,0.910634838743798,0.28935752931020375,0.0,0.28935752931020375,0.0,0.01
57,15417.132749999331,9195.88499999946,19353.104999999563,500.0,0.8545534181373347,0.9049264802452076,0.28880567078760583,0.0,0.28880567078760583,0.0,0.01
58,15186.496499999324,9195.88499999946,19122.6599999996,500.0,0.8518541888385246,0.901685425563791,0.29171940891418224,0.0,0.29171940891418224,0.0,0.01
59,14931.911699999333,9195.88499999946,18787.364999999576,500.0,0.8468328900061495,0.8960337618256545,0.28272481475660777,0.0,0.28272481475660777,0.0,0.01
60,14746.068449999328,9195.88499999946,18787.364999999576,500.0,0.8442905164062086,0.8929770142745329,0.2796638105591175,0.0,0.2796638105591175,0.0,0.01
61,14442.254099999323,9195.88499999946,18787.364999999576,500.0,0.8406429013036633,0.8890865906221981,0.2778788255054219,0.0,0.2778788255054219,0.0,0.01
62,14303.090249999319,9195.88499999946,18787.364999999576,500.0,0.8407363240993888,0.8895378202471603,0.27817028015899975,0.0,0.27817028015899975,0.0,0.01
63,13930.394399999324,6118.0650000002615,18787.364999999576,500.0,0.8306388555208407,0.8802943366421491,0.2763179536292415,0.0,0.2763179536292415,0.0,0.01
64,13710.58244999932,6118.0650000002615,18038.294999999453,500.0,0.8279757585971698,0.8781198378755575,0.2801568708957496,0.0,0.2801568708957496,0.0,0.01
65,13502.338649999323,6118.0650000002615,18038.294999999453,500.0,0.8273947185366847,0.8779322533171807,0.28099791023730813,0.0,0.28099791023730813,0.0,0.01
66,13312.571849999335,6118.0650000002615,18038.294999999453,500.0,0.825906120524743,0.8761599663532469,0.27646916272950434,0.0,0.27646916272950434,0.0,0.01
67,13236.859799999338,6118.0650000002615,18038.294999999453,500.0,0.8275444081447909,0.8764768885253126,0.2757963365137034,0.0,0.2757963365137034,0.0,0.01
68,13029.201899999347,6118.0650000002615,17755.64999999961,500.0,0.8232781468490663,0.8713347698055736,0.2753626038464443,0.0,0.2753626038464443,0.0,0.01
69,12863.912849999366,6118.0650000002615,17755.64999999961,500.0,0.8233916164647915,0.8712804621161006,0.27715752245785125,0.0,0.27715752245785125,0.0,0.01
70,12679.29584999937,6118.0650000002615,16779.374999999414,500.0,0.8205826253466174,0.8683701370465802,0.27395329548274233,0.0,0.27395329548274233,0.0,0.01
71,12587.79509999937,6118.0650000002615,16579.529999999304,500.0,0.8225613943936242,0.8710770026650511,0.2771461594615508,0.0,0.2771461594615508,0.0,0.01
72,12394.973249999384,6118.0650000002615,16579.529999999304,500.0,0.8206701382071313,0.8693556353057579,0.28056486626958427,0.0,0.28056486626958427,0.0,0.01
73,12317.857199999402,6118.0650000002615,16579.529999999304,500.0,0.8240946094479362,0.872488174086034,0.2817739625457614,0.0,0.2817739625457614,0.0,0.01
